+----------------------+-------------------------------------------------+-----------+-------------+
| NOTE: The Hardness and Resistance values are the raw base values in the fields                   |
| of the Block class in question. The actual final values may be different                         |
| for different states of the block, or they may depend on a TileEntity etc.                       |
+----------------------+-------------------------------------------------+-----------+-------------+
| Mod name             | Registry name                                   |  Hardness |  Resistance |
| Botania              | botania:biomestonea8slabfull                    |      1.50 |       30.00 |
| Botania              | botania:biomestonea8stairs                      |      1.50 |       30.00 |
| Botania              | botania:biomestonea9slab                        |      1.50 |       30.00 |
| Botania              | botania:biomestonea9slabfull                    |      1.50 |       30.00 |
| Botania              | botania:biomestonea9stairs                      |      1.50 |       30.00 |
| Botania              | botania:biomestoneb                             |      1.50 |       30.00 |
| Botania              | botania:biomestoneb0slab                        |      1.50 |       30.00 |
| Botania              | botania:biomestoneb0slabfull                    |      1.50 |       30.00 |
| Botania              | botania:biomestoneb0stairs                      |      1.50 |       30.00 |
| Botania              | botania:biomestoneb1slab                        |      1.50 |       30.00 |
| Botania              | botania:biomestoneb1slabfull                    |      1.50 |       30.00 |
| Botania              | botania:biomestoneb1stairs                      |      1.50 |       30.00 |
| Botania              | botania:biomestoneb2slab                        |      1.50 |       30.00 |
| Botania              | botania:biomestoneb2slabfull                    |      1.50 |       30.00 |
| Botania              | botania:biomestoneb2stairs                      |      1.50 |       30.00 |
| Botania              | botania:biomestoneb3slab                        |      1.50 |       30.00 |
| Botania              | botania:biomestoneb3slabfull                    |      1.50 |       30.00 |
| Botania              | botania:biomestoneb3stairs                      |      1.50 |       30.00 |
| Botania              | botania:biomestoneb4slab                        |      1.50 |       30.00 |
| Botania              | botania:biomestoneb4slabfull                    |      1.50 |       30.00 |
| Botania              | botania:biomestoneb4stairs                      |      1.50 |       30.00 |
| Botania              | botania:biomestoneb5slab                        |      1.50 |       30.00 |
| Botania              | botania:biomestoneb5slabfull                    |      1.50 |       30.00 |
| Botania              | botania:biomestoneb5stairs                      |      1.50 |       30.00 |
| Botania              | botania:biomestoneb6slab                        |      1.50 |       30.00 |
| Botania              | botania:biomestoneb6slabfull                    |      1.50 |       30.00 |
| Botania              | botania:biomestoneb6stairs                      |      1.50 |       30.00 |
| Botania              | botania:biomestoneb7slab                        |      1.50 |       30.00 |
| Botania              | botania:biomestoneb7slabfull                    |      1.50 |       30.00 |
| Botania              | botania:biomestoneb7stairs                      |      1.50 |       30.00 |
| Botania              | botania:blazeblock                              |      3.00 |       30.00 |
| Botania              | botania:brewery                                 |      2.00 |       30.00 |
| Botania              | botania:buriedpetals                            |      0.00 |        0.00 |
| Botania              | botania:cacophoniumblock                        |      0.80 |        4.00 |
| Botania              | botania:cellblock                               |      0.00 |        0.00 |
| Botania              | botania:cocoon                                  |      3.00 |      150.00 |
| Botania              | botania:conjurationcatalyst                     |      2.00 |       30.00 |
| Botania              | botania:corporeacrystalcube                     |      5.50 |       27.50 |
| Botania              | botania:corporeafunnel                          |      5.50 |       27.50 |
| Botania              | botania:corporeaindex                           |      5.50 |       27.50 |
| Botania              | botania:corporeainterceptor                     |      5.50 |       27.50 |
| Botania              | botania:corporearetainer                        |      5.50 |       27.50 |
| Botania              | botania:custombrick                             |      2.00 |       15.00 |
| Botania              | botania:distributor                             |      2.00 |       30.00 |
| Botania              | botania:doubleflower1                           |      0.00 |        0.00 |
| Botania              | botania:doubleflower2                           |      0.00 |        0.00 |
| Botania              | botania:dreamwood                               |      2.00 |       10.00 |
| Botania              | botania:dreamwood0slab                          |      2.00 |       10.00 |
| Botania              | botania:dreamwood0slabfull                      |      2.00 |       10.00 |
| Botania              | botania:dreamwood0stairs                        |      2.00 |       10.00 |
| Botania              | botania:dreamwood0wall                          |      2.00 |       10.00 |
| Botania              | botania:dreamwood1slab                          |      2.00 |       10.00 |
| Botania              | botania:dreamwood1slabfull                      |      2.00 |       10.00 |
| Botania              | botania:dreamwood1stairs                        |      2.00 |       10.00 |
| Botania              | botania:elfglass                                |      0.30 |        1.50 |
| Botania              | botania:elfglasspane                            |      0.30 |        1.50 |
| Botania              | botania:enchantedsoil                           |      0.60 |        3.00 |
| Botania              | botania:enchanter                               |      3.00 |       15.00 |
| Botania              | botania:endereyeblock                           |      3.00 |       30.00 |
| Botania              | botania:fakeair                                 |      0.00 |        0.00 |
| Botania              | botania:felpumpkin                              |      1.00 |        5.00 |
| Botania              | botania:floatingspecialflower                   |      0.50 |        2.50 |
| Botania              | botania:flower                                  |      0.00 |        0.00 |
| Botania              | botania:forestdrum                              |      2.00 |       10.00 |
| Botania              | botania:foresteye                               |      5.00 |       30.00 |
| Botania              | botania:gaiaheadblock                           |      1.00 |        5.00 |
| Botania              | botania:ghostrail                               |      0.00 |        0.00 |
| Botania              | botania:hourglass                               |      2.00 |       10.00 |
| Botania              | botania:incenseplate                            |      2.00 |       10.00 |
| Botania              | botania:lightlauncher                           |      2.00 |       10.00 |
| Botania              | botania:lightrelay                              |      0.00 |        0.00 |
| Botania              | botania:livingrock                              |      2.00 |       30.00 |
| Botania              | botania:livingrock0slab                         |      2.00 |       30.00 |
| Botania              | botania:livingrock0slabfull                     |      2.00 |       30.00 |
| Botania              | botania:livingrock0stairs                       |      2.00 |       30.00 |
| Botania              | botania:livingrock0wall                         |      2.00 |       30.00 |
| Botania              | botania:livingrock1slab                         |      2.00 |       30.00 |
| Botania              | botania:livingrock1slabfull                     |      2.00 |       30.00 |
| Botania              | botania:livingrock1stairs                       |      2.00 |       30.00 |
| Botania              | botania:livingwood                              |      2.00 |       10.00 |
| Botania              | botania:livingwood0slab                         |      2.00 |       10.00 |
| Botania              | botania:livingwood0slabfull                     |      2.00 |       10.00 |
| Botania              | botania:livingwood0stairs                       |      2.00 |       10.00 |
| Botania              | botania:livingwood0wall                         |      2.00 |       10.00 |
| Botania              | botania:livingwood1slab                         |      2.00 |       10.00 |
| Botania              | botania:livingwood1slabfull                     |      2.00 |       10.00 |
| Botania              | botania:livingwood1stairs                       |      2.00 |       10.00 |
| Botania              | botania:manabomb                                |     12.00 |       60.00 |
| Botania              | botania:manadetector                            |      2.00 |       30.00 |
| Botania              | botania:manaflame                               |      0.00 |        0.00 |
| Botania              | botania:managlass                               |      0.30 |        1.50 |
| Botania              | botania:managlasspane                           |      0.30 |        1.50 |
| Botania              | botania:manavoid                                |      2.00 |     6000.00 |
| Botania              | botania:miniisland                              |      0.50 |        2.50 |
| Botania              | botania:mushroom                                |      0.00 |        0.00 |
| Botania              | botania:opencrate                               |      2.00 |       10.00 |
| Botania              | botania:pavement                                |      2.00 |       30.00 |
| Botania              | botania:pavement0slab                           |      2.00 |       30.00 |
| Botania              | botania:pavement0slabfull                       |      2.00 |       30.00 |
| Botania              | botania:pavement0stairs                         |      2.00 |       30.00 |
| Botania              | botania:pavement1slab                           |      2.00 |       30.00 |
| Botania              | botania:pavement1slabfull                       |      2.00 |       30.00 |
| Botania              | botania:pavement1stairs                         |      2.00 |       30.00 |
| Botania              | botania:pavement2slab                           |      2.00 |       30.00 |
| Botania              | botania:pavement2slabfull                       |      2.00 |       30.00 |
| Botania              | botania:pavement2stairs                         |      2.00 |       30.00 |
| Botania              | botania:pavement3slab                           |      2.00 |       30.00 |
| Botania              | botania:pavement3slabfull                       |      2.00 |       30.00 |
| Botania              | botania:pavement3stairs                         |      2.00 |       30.00 |
| Botania              | botania:pavement4slab                           |      2.00 |       30.00 |
| Botania              | botania:pavement4slabfull                       |      2.00 |       30.00 |
| Botania              | botania:pavement4stairs                         |      2.00 |       30.00 |
| Botania              | botania:pavement5slab                           |      2.00 |       30.00 |
| Botania              | botania:pavement5slabfull                       |      2.00 |       30.00 |
| Botania              | botania:pavement5stairs                         |      2.00 |       30.00 |
| Botania              | botania:petalblock                              |      0.40 |        2.00 |
| Botania              | botania:pistonrelay                             |      2.00 |       30.00 |
| Botania              | botania:platform                                |      2.00 |       15.00 |
| Botania              | botania:pool                                    |      2.00 |       30.00 |
| Botania              | botania:prism                                   |      0.30 |        1.50 |
| Botania              | botania:pump                                    |      2.00 |       30.00 |
| Botania              | botania:pylon                                   |      5.50 |       27.50 |
| Botania              | botania:quartzslabblazefull                     |      0.80 |       30.00 |
| Botania              | botania:quartzslabblazehalf                     |      0.80 |       30.00 |
| Botania              | botania:quartzslabdarkfull                      |      0.80 |       30.00 |
| Botania              | botania:quartzslabdarkhalf                      |      0.80 |       30.00 |
| Botania              | botania:quartzslabelffull                       |      0.80 |       30.00 |
| Botania              | botania:quartzslabelfhalf                       |      0.80 |       30.00 |
| Botania              | botania:quartzslablavenderfull                  |      0.80 |       30.00 |
| Botania              | botania:quartzslablavenderhalf                  |      0.80 |       30.00 |
| Botania              | botania:quartzslabmanafull                      |      0.80 |       30.00 |
| Botania              | botania:quartzslabmanahalf                      |      0.80 |       30.00 |
| Botania              | botania:quartzslabredfull                       |      0.80 |       30.00 |
| Botania              | botania:quartzslabredhalf                       |      0.80 |       30.00 |
| Botania              | botania:quartzslabsunnyfull                     |      0.80 |       30.00 |
| Botania              | botania:quartzslabsunnyhalf                     |      0.80 |       30.00 |
| Botania              | botania:quartzstairsblaze                       |      0.80 |       30.00 |
| Botania              | botania:quartzstairsdark                        |      0.80 |       30.00 |
| Botania              | botania:quartzstairself                         |      0.80 |       30.00 |
| Botania              | botania:quartzstairslavender                    |      0.80 |       30.00 |
| Botania              | botania:quartzstairsmana                        |      0.80 |       30.00 |
| Botania              | botania:quartzstairsred                         |      0.80 |       30.00 |
| Botania              | botania:quartzstairssunny                       |      0.80 |       30.00 |
| Botania              | botania:quartztypeblaze                         |      0.80 |       30.00 |
| Botania              | botania:quartztypedark                          |      0.80 |       30.00 |
| Botania              | botania:quartztypeelf                           |      0.80 |       30.00 |
| Botania              | botania:quartztypelavender                      |      0.80 |       30.00 |
| Botania              | botania:quartztypemana                          |      0.80 |       30.00 |
| Botania              | botania:quartztypered                           |      0.80 |       30.00 |
| Botania              | botania:quartztypesunny                         |      0.80 |       30.00 |
| Botania              | botania:redstringcomparator                     |      2.00 |       30.00 |
| Botania              | botania:redstringcontainer                      |      2.00 |       30.00 |
| Botania              | botania:redstringdispenser                      |      2.00 |       30.00 |
| Botania              | botania:redstringfertilizer                     |      2.00 |       30.00 |
| Botania              | botania:redstringinterceptor                    |      2.00 |       30.00 |
| Botania              | botania:redstringrelay                          |      2.00 |       30.00 |
| Botania              | botania:rfgenerator                             |      2.00 |       30.00 |
| Botania              | botania:root                                    |      1.20 |        6.00 |
| Botania              | botania:runealtar                               |      2.00 |       30.00 |
| Botania              | botania:shimmerrock                             |      2.00 |       30.00 |
| Botania              | botania:shimmerrock0slab                        |      2.00 |       30.00 |
| Botania              | botania:shimmerrock0slabfull                    |      2.00 |       30.00 |
| Botania              | botania:shimmerrock0stairs                      |      2.00 |       30.00 |
| Botania              | botania:shimmerwoodplanks                       |      2.00 |       10.00 |
| Botania              | botania:shimmerwoodplanks0slab                  |      2.00 |       30.00 |
| Botania              | botania:shimmerwoodplanks0slabfull              |      2.00 |       30.00 |
| Botania              | botania:shimmerwoodplanks0stairs                |      2.00 |       10.00 |
| Botania              | botania:shinyflower                             |      0.00 |        0.00 |
| Botania              | botania:solidvine                               |      0.50 |        2.50 |
| Botania              | botania:sparkchanger                            |      2.00 |       30.00 |
| Botania              | botania:spawnerclaw                             |      3.00 |       15.00 |
| Botania              | botania:specialflower                           |      0.10 |        0.50 |
| Botania              | botania:spreader                                |      2.00 |       10.00 |
| Botania              | botania:starfield                               |      5.00 |     6000.00 |
| Botania              | botania:storage                                 |      3.00 |       30.00 |
| Botania              | botania:terraplate                              |      3.00 |       30.00 |
| Botania              | botania:teruterubozu                            |      0.00 |        0.00 |
| Botania              | botania:tinyplanetblock                         |     20.00 |      300.00 |
| Botania              | botania:tinypotato                              |      0.25 |        1.25 |
| Botania              | botania:turntable                               |      2.00 |       10.00 |
| Charset              | charset:barrel                                  |      2.50 |       12.50 |
| Coralreef            | coralreef:coral                                 |      0.00 |        0.00 |
| Coralreef            | coralreef:reef                                  |      1.50 |       30.00 |
| Dimensional Control  | dimensionalcontrol:dimensional_portal           |      0.00 |        0.00 |
| Fishing Net Mod      | giacomos_fishing_net:netdry                     |      0.12 |        0.60 |
| Fishing Net Mod      | giacomos_fishing_net:netwet                     |      0.00 |        0.00 |
| Fishing Net Mod      | giacomos_fishing_net:netwetstatic               |      0.12 |        0.60 |
| Minecraft            | minecraft:acacia_door                           |      3.00 |       15.00 |
| Minecraft            | minecraft:acacia_fence                          |      2.00 |       15.00 |
| Minecraft            | minecraft:acacia_fence_gate                     |      2.00 |       15.00 |
| Minecraft            | minecraft:acacia_stairs                         |      2.00 |       15.00 |
| Minecraft            | minecraft:activator_rail                        |      0.70 |        3.50 |
| Minecraft            | minecraft:air                                   |      0.00 |        0.00 |
| Minecraft            | minecraft:anvil                                 |      5.00 |     6000.00 |
| Minecraft            | minecraft:barrier                               |     -1.00 | 18000004.00 |
| Minecraft            | minecraft:beacon                                |      3.00 |       15.00 |
| Minecraft            | minecraft:bed                                   |      0.20 |        1.00 |
| Minecraft            | minecraft:bedrock                               |     -1.00 | 18000000.00 |
| Minecraft            | minecraft:beetroots                             |      0.00 |        0.00 |
| Minecraft            | minecraft:birch_door                            |      3.00 |       15.00 |
| Minecraft            | minecraft:birch_fence                           |      2.00 |       15.00 |
| Minecraft            | minecraft:birch_fence_gate                      |      2.00 |       15.00 |
| Minecraft            | minecraft:birch_stairs                          |      2.00 |       15.00 |
| Minecraft            | minecraft:black_glazed_terracotta               |      1.40 |        7.00 |
| Minecraft            | minecraft:black_shulker_box                     |      2.00 |     6000.00 |
| Minecraft            | minecraft:blue_glazed_terracotta                |      1.40 |        7.00 |
| Minecraft            | minecraft:blue_shulker_box                      |      2.00 |     6000.00 |
| Minecraft            | minecraft:bone_block                            |      2.00 |       10.00 |
| Minecraft            | minecraft:bookshelf                             |      1.50 |        7.50 |
| Minecraft            | minecraft:brewing_stand                         |      0.50 |        2.50 |
| Minecraft            | minecraft:brick_block                           |      2.00 |       30.00 |
| Minecraft            | minecraft:brick_stairs                          |      2.00 |       30.00 |
| Minecraft            | minecraft:brown_glazed_terracotta               |      1.40 |        7.00 |
| Minecraft            | minecraft:brown_mushroom                        |      0.00 |        0.00 |
| Minecraft            | minecraft:brown_mushroom_block                  |      0.20 |        1.00 |
| Minecraft            | minecraft:brown_shulker_box                     |      2.00 |     6000.00 |
| Minecraft            | minecraft:cactus                                |      0.40 |        2.00 |
| Minecraft            | minecraft:cake                                  |      0.50 |        2.50 |
| Minecraft            | minecraft:carpet                                |      0.10 |        0.50 |
| Minecraft            | minecraft:carrots                               |      0.00 |        0.00 |
| Minecraft            | minecraft:cauldron                              |      2.00 |       10.00 |
| Minecraft            | minecraft:chain_command_block                   |     -1.00 | 18000000.00 |
| Minecraft            | minecraft:chest                                 |      2.50 |       12.50 |
| Minecraft            | minecraft:chorus_flower                         |      0.40 |        2.00 |
| Minecraft            | minecraft:chorus_plant                          |      0.40 |        2.00 |
| Minecraft            | minecraft:clay                                  |      0.60 |        3.00 |
| Minecraft            | minecraft:coal_block                            |      5.00 |       30.00 |
| Minecraft            | minecraft:coal_ore                              |      3.00 |       15.00 |
| Minecraft            | minecraft:cobblestone                           |      2.00 |       30.00 |
| Minecraft            | minecraft:cobblestone_wall                      |      2.00 |       30.00 |
| Minecraft            | minecraft:cocoa                                 |      0.20 |       15.00 |
| Minecraft            | minecraft:command_block                         |     -1.00 | 18000000.00 |
| Minecraft            | minecraft:concrete                              |      1.80 |        9.00 |
| Minecraft            | minecraft:concrete_powder                       |      0.50 |        2.50 |
| Minecraft            | minecraft:crafting_table                        |      2.50 |       12.50 |
| Minecraft            | minecraft:cyan_glazed_terracotta                |      1.40 |        7.00 |
| Minecraft            | minecraft:cyan_shulker_box                      |      2.00 |     6000.00 |
| Minecraft            | minecraft:dark_oak_door                         |      3.00 |       15.00 |
| Minecraft            | minecraft:dark_oak_fence                        |      2.00 |       15.00 |
| Minecraft            | minecraft:dark_oak_fence_gate                   |      2.00 |       15.00 |
| Minecraft            | minecraft:dark_oak_stairs                       |      2.00 |       15.00 |
| Minecraft            | minecraft:daylight_detector                     |      0.20 |        1.00 |
| Minecraft            | minecraft:daylight_detector_inverted            |      0.20 |        1.00 |
| Minecraft            | minecraft:deadbush                              |      0.00 |        0.00 |
| Minecraft            | minecraft:detector_rail                         |      0.70 |        3.50 |
| Minecraft            | minecraft:diamond_block                         |      5.00 |       30.00 |
| Minecraft            | minecraft:diamond_ore                           |      3.00 |       15.00 |
| Minecraft            | minecraft:dirt                                  |      0.50 |        2.50 |
| Minecraft            | minecraft:dispenser                             |      3.50 |       17.50 |
| Minecraft            | minecraft:double_plant                          |      0.00 |        0.00 |
| Minecraft            | minecraft:double_stone_slab                     |      2.00 |       30.00 |
| Minecraft            | minecraft:double_stone_slab2                    |      2.00 |       30.00 |
| Minecraft            | minecraft:double_wooden_slab                    |      2.00 |       15.00 |
| Minecraft            | minecraft:dragon_egg                            |      3.00 |       45.00 |
| Minecraft            | minecraft:dropper                               |      3.50 |       17.50 |
| Minecraft            | minecraft:emerald_block                         |      5.00 |       30.00 |
| Minecraft            | minecraft:emerald_ore                           |      3.00 |       15.00 |
| Minecraft            | minecraft:enchanting_table                      |      5.00 |     6000.00 |
| Minecraft            | minecraft:end_bricks                            |      0.80 |        4.00 |
| Minecraft            | minecraft:end_gateway                           |     -1.00 | 18000000.00 |
| Minecraft            | minecraft:end_portal                            |     -1.00 | 18000000.00 |
| Minecraft            | minecraft:end_portal_frame                      |      1.00 | 18000000.00 |
| Minecraft            | minecraft:end_rod                               |      0.00 |        0.00 |
| Minecraft            | minecraft:end_stone                             |      3.00 |       45.00 |
| Minecraft            | minecraft:ender_chest                           |     22.50 |     3000.00 |
| Minecraft            | minecraft:farmland                              |      0.60 |        3.00 |
| Minecraft            | minecraft:fence                                 |      2.00 |       15.00 |
| Minecraft            | minecraft:fence_gate                            |      2.00 |       15.00 |
| Minecraft            | minecraft:fire                                  |      0.00 |        0.00 |
| Minecraft            | minecraft:flower_pot                            |      0.00 |        0.00 |
| Minecraft            | minecraft:flowing_lava                          |    100.00 |      500.00 |
| Minecraft            | minecraft:flowing_water                         |    100.00 |      500.00 |
| Minecraft            | minecraft:frosted_ice                           |      0.50 |        2.50 |
| Minecraft            | minecraft:furnace                               |      3.50 |       17.50 |
| Minecraft            | minecraft:glass                                 |      0.30 |        1.50 |
| Minecraft            | minecraft:glass_pane                            |      0.30 |        1.50 |
| Minecraft            | minecraft:glowstone                             |      0.30 |        1.50 |
| Minecraft            | minecraft:gold_block                            |      3.00 |       30.00 |
| Minecraft            | minecraft:gold_ore                              |      3.00 |       15.00 |
| Minecraft            | minecraft:golden_rail                           |      0.70 |        3.50 |
| Minecraft            | minecraft:grass                                 |      0.60 |        3.00 |
| Minecraft            | minecraft:grass_path                            |      0.65 |        3.25 |
| Minecraft            | minecraft:gravel                                |      0.60 |        3.00 |
| Minecraft            | minecraft:gray_glazed_terracotta                |      1.40 |        7.00 |
| Minecraft            | minecraft:gray_shulker_box                      |      2.00 |     6000.00 |
| Minecraft            | minecraft:green_glazed_terracotta               |      1.40 |        7.00 |
| Minecraft            | minecraft:green_shulker_box                     |      2.00 |     6000.00 |
| Minecraft            | minecraft:hardened_clay                         |      1.25 |       21.00 |
| Minecraft            | minecraft:hay_block                             |      0.50 |        2.50 |
| Minecraft            | minecraft:heavy_weighted_pressure_plate         |      0.50 |        2.50 |
| Minecraft            | minecraft:hopper                                |      3.00 |       24.00 |
| Minecraft            | minecraft:ice                                   |      0.50 |        2.50 |
| Minecraft            | minecraft:iron_bars                             |      5.00 |       30.00 |
| Minecraft            | minecraft:iron_block                            |      5.00 |       30.00 |
| Minecraft            | minecraft:iron_door                             |      5.00 |       25.00 |
| Minecraft            | minecraft:iron_ore                              |      3.00 |       15.00 |
| Minecraft            | minecraft:iron_trapdoor                         |      5.00 |       25.00 |
| Minecraft            | minecraft:jukebox                               |      2.00 |       30.00 |
| Minecraft            | minecraft:jungle_door                           |      3.00 |       15.00 |
| Minecraft            | minecraft:jungle_fence                          |      2.00 |       15.00 |
| Minecraft            | minecraft:jungle_fence_gate                     |      2.00 |       15.00 |
| Minecraft            | minecraft:jungle_stairs                         |      2.00 |       15.00 |
| Minecraft            | minecraft:ladder                                |      0.40 |        2.00 |
| Minecraft            | minecraft:lapis_block                           |      3.00 |       15.00 |
| Minecraft            | minecraft:lapis_ore                             |      3.00 |       15.00 |
| Minecraft            | minecraft:lava                                  |    100.00 |      500.00 |
| Minecraft            | minecraft:leaves                                |      0.20 |        1.00 |
| Minecraft            | minecraft:leaves2                               |      0.20 |        1.00 |
| Minecraft            | minecraft:lever                                 |      0.50 |        2.50 |
| Minecraft            | minecraft:light_blue_glazed_terracotta          |      1.40 |        7.00 |
| Minecraft            | minecraft:light_blue_shulker_box                |      2.00 |     6000.00 |
| Minecraft            | minecraft:light_weighted_pressure_plate         |      0.50 |        2.50 |
| Minecraft            | minecraft:lime_glazed_terracotta                |      1.40 |        7.00 |
| Minecraft            | minecraft:lime_shulker_box                      |      2.00 |     6000.00 |
| Minecraft            | minecraft:lit_furnace                           |      3.50 |       17.50 |
| Minecraft            | minecraft:lit_pumpkin                           |      1.00 |        5.00 |
| Minecraft            | minecraft:lit_redstone_lamp                     |      0.30 |        1.50 |
| Minecraft            | minecraft:lit_redstone_ore                      |      3.00 |       15.00 |
| Minecraft            | minecraft:log                                   |      2.00 |       10.00 |
| Minecraft            | minecraft:log2                                  |      2.00 |       10.00 |
| Minecraft            | minecraft:magenta_glazed_terracotta             |      1.40 |        7.00 |
| Minecraft            | minecraft:magenta_shulker_box                   |      2.00 |     6000.00 |
| Minecraft            | minecraft:magma                                 |      0.50 |        2.50 |
| Minecraft            | minecraft:melon_block                           |      1.00 |        5.00 |
| Minecraft            | minecraft:melon_stem                            |      0.00 |        0.00 |
| Minecraft            | minecraft:mob_spawner                           |      5.00 |       25.00 |
| Minecraft            | minecraft:monster_egg                           |      0.75 |        3.75 |
| Minecraft            | minecraft:mossy_cobblestone                     |      2.00 |       30.00 |
| Minecraft            | minecraft:mycelium                              |      0.60 |        3.00 |
| Minecraft            | minecraft:nether_brick                          |      2.00 |       30.00 |
| Minecraft            | minecraft:nether_brick_fence                    |      2.00 |       30.00 |
| Minecraft            | minecraft:nether_brick_stairs                   |      2.00 |       30.00 |
| Minecraft            | minecraft:nether_wart                           |      0.00 |        0.00 |
| Minecraft            | minecraft:nether_wart_block                     |      1.00 |        5.00 |
| Minecraft            | minecraft:netherrack                            |      0.40 |        2.00 |
| Minecraft            | minecraft:noteblock                             |      0.80 |        4.00 |
| Minecraft            | minecraft:oak_stairs                            |      2.00 |       15.00 |
| Minecraft            | minecraft:observer                              |      3.00 |       15.00 |
| Minecraft            | minecraft:obsidian                              |     50.00 |     6000.00 |
| Minecraft            | minecraft:orange_glazed_terracotta              |      1.40 |        7.00 |
| Minecraft            | minecraft:orange_shulker_box                    |      2.00 |     6000.00 |
| Minecraft            | minecraft:packed_ice                            |      0.50 |        2.50 |
| Minecraft            | minecraft:pink_glazed_terracotta                |      1.40 |        7.00 |
| Minecraft            | minecraft:pink_shulker_box                      |      2.00 |     6000.00 |
| Minecraft            | minecraft:piston                                |      0.50 |        2.50 |
| Minecraft            | minecraft:piston_extension                      |     -1.00 |        0.00 |
| Minecraft            | minecraft:piston_head                           |      0.50 |        2.50 |
| Minecraft            | minecraft:planks                                |      2.00 |       15.00 |
| Minecraft            | minecraft:portal                                |     -1.00 |        0.00 |
| Minecraft            | minecraft:potatoes                              |      0.00 |        0.00 |
| Minecraft            | minecraft:powered_comparator                    |      0.00 |        0.00 |
| Minecraft            | minecraft:powered_repeater                      |      0.00 |        0.00 |
